text,label
"Streetlight is flashing on and off rapidly.",ELECTRICAL
"powerlines sagging dangerously low",ELECTRICAL
"The wiring on this pole is completely frayed.",ELECTRICAL
"Transformer is leaking some kind of fluid.",ELECTRICAL
"stret lamp broken",ELECTRICAL
"Main intersection is completely unlit.",ELECTRICAL
"dark alley needs light fixed",ELECTRICAL
"Electrical panel is damaged and accessible to kids.",ELECTRICAL
"Pole is leaning and the wires are tight.",ELECTRICAL
"Multiple broken lights in the park.",ELECTRICAL
"wire sparked and caught fire briefly",ELECTRICAL
"Please replace the bulb in this street lamp.",ELECTRICAL
"tree fallen blocking road",FALLEN_TREE
"Huge tree branch fell and is crushing a parked car",FALLEN_TREE
"a massive oak tree came down in the storm",FALLEN_TREE
"Fallen tree is completely blocking both lanes of traffic",FALLEN_TREE
"tree fell on powerlines",FALLEN_TREE
"Large limb snapped off and is blocking the sidewalk",FALLEN_TREE
"A dead tree finally collapsed across the walking path",FALLEN_TREE
"uprooted tree needs to be removed",FALLEN_TREE
"tree in the road",FALLEN_TREE
"Please send a crew to clear the downed tree on 4th street.",FALLEN_TREE
"Heavy branches littering the street after high winds.",FALLEN_TREE
"URGENT: Tree down blocking the only exit to our neighborhood!",FALLEN_TREE
"fallen branches everywhere",FALLEN_TREE
"The storm knocked over a large pine tree onto the fence.",FALLEN_TREE
"big tree blocking traffic",FALLEN_TREE
"A tree has fallen and is obstructing the intersection.",FALLEN_TREE
"Large chunk of a tree trunk in the middle of the road.",FALLEN_TREE
"tree fell down",FALLEN_TREE
"Please remove the fallen foliage and branches.",FALLEN_TREE
"I can't get out of my driveway because of a downed tree.",FALLEN_TREE
"massive tree blocking the way",FALLEN_TREE
"Half of the tree split and fell onto the pavement.",FALLEN_TREE
"branch fell on sidewalk",FALLEN_TREE
"Fallen timber is creating a major road hazard.",FALLEN_TREE
"tree in street",FALLEN_TREE
"Get this tree out of the road immediately!",FALLEN_TREE
"A giant branch broke off and is hanging dangerously low.",FALLEN_TREE
"Tree debris scattered all over the driving lanes.",FALLEN_TREE
"downed tree blocking bus route",FALLEN_TREE
"The old elm tree finally gave way and fell over.",FALLEN_TREE
"Emergency! Tree blocking ambulance route!",FALLEN_TREE
"wood blocking the street",FALLEN_TREE
"Fallen trunk needs to be chainsawed and cleared.",FALLEN_TREE
"Large willow branch snapped and fell.",FALLEN_TREE
"storm blew a tree over",FALLEN_TREE
"Complete road closure due to a fallen ash tree.",FALLEN_TREE
"Tree roots gave out, it's lying across the road.",FALLEN_TREE
"branch down",FALLEN_TREE
"A large bough is obstructing the pedestrian crossing.",FALLEN_TREE
"tree needs clearing",FALLEN_TREE
"Massive tree down, looks like it took out a streetlight too.",FALLEN_TREE
"Fallen limbs making the road impassable.",FALLEN_TREE
"A whole tree was uprooted and is lying here.",FALLEN_TREE
"tree blocking my gate",FALLEN_TREE
"Please dispatch forestry, a tree is down.",FALLEN_TREE
"graffiti on wall at the corner",GRAFFITI
"Someone spray painted offensive words on the playground equipment",GRAFFITI
"huge gang tag on the side of the library",GRAFFITI
"Vandalism and spray paint all over the bus shelter",GRAFFITI
"grafiti covering the stop sign",GRAFFITI
"New tags appeared overnight on the brick wall",GRAFFITI
"Someone defaced the public mural with black paint",GRAFFITI
"spray paint on the bridge",GRAFFITI
"painted wall needs cleaning",GRAFFITI
"Please remove the ugly graffiti from the neighborhood entrance.",GRAFFITI
"Inappropriate drawings spray-painted on the sidewalk.",GRAFFITI
"Gross vandalism on the side of the public restroom!",GRAFFITI
"wall is tagged",GRAFFITI
"The subway underpass is completely covered in fresh graffiti.",GRAFFITI
"someone painted on the building",GRAFFITI
"Extensive tagging on the sound barrier wall along the highway.",GRAFFITI
"Bright red spray paint across the community center doors.",GRAFFITI
"graffitti everywhere",GRAFFITI

"Please power wash the spray paint off the memorial.",GRAFFITI
"Kids keep tagging this alleyway, it looks terrible.",GRAFFITI
"vandalism on the wall",GRAFFITI
"Obscene graffiti needs to be painted over immediately.",GRAFFITI
"spray paint on fence",GRAFFITI
"Multiple gang signs painted on the utility boxes.",GRAFFITI
"graffiti here",GRAFFITI
"Clean up this vandalism, it's ruining the neighborhood!",GRAFFITI
"Someone used a marker to draw all over the maps.",GRAFFITI
"Black spray paint covering the storefront roll-down gates.",GRAFFITI
"tagged building",GRAFFITI
"The historical monument has been defaced with paint.",GRAFFITI
"Disgusting graffiti, kids walk past this!",GRAFFITI
"paint on the bricks",GRAFFITI
"Vandals sprayed their names on the park benches.",GRAFFITI
"Graffiti is spreading down the whole block.",GRAFFITI
"someone sprayed the wall",GRAFFITI
"Ugly tagging on the newly painted community center.",GRAFFITI
"Spray painted letters on the retaining wall.",GRAFFITI
"graffity on the sign",GRAFFITI
"The pillars under the bridge are covered in tags.",GRAFFITI
"defaced property",GRAFFITI
"Please dispatch a graffiti removal team to this address.",GRAFFITI
"Fresh vandalism on the electrical box.",GRAFFITI
"Large painted mural was ruined by taggers.",GRAFFITI
"paint needs to be removed",GRAFFITI
"Graffiti on the exterior wall of the elementary school.",GRAFFITI
"road sign broken near the intersection",BROKEN_SIGN
"The stop sign was knocked over and is lying in the grass",BROKEN_SIGN
"yield sign is completely bent backwards",BROKEN_SIGN
"Street name sign is missing, delivery drivers are getting lost",BROKEN_SIGN
"brokn speed limit sign",BROKEN_SIGN
"Traffic sign is spun around facing the wrong way",BROKEN_SIGN
"The pedestrian crossing sign was smashed into pieces",BROKEN_SIGN
"sign fell down",BROKEN_SIGN
"missing stop sign",BROKEN_SIGN
"Please fix the one-way sign, it is dangling by one bolt.",BROKEN_SIGN
"The parking restriction sign is completely illegible and faded.",BROKEN_SIGN
"URGENT: Stop sign missing at a busy 4-way intersection!",BROKEN_SIGN
"sign is broke",BROKEN_SIGN
"Someone hit the pole and now the no left turn sign is flat on the ground.",BROKEN_SIGN
"traffic sign knocked over",BROKEN_SIGN
"The road work ahead sign has been destroyed.",BROKEN_SIGN
"School zone sign is twisted and cannot be read.",BROKEN_SIGN
"sign on the floor",BROKEN_SIGN
"Please replace the damaged yield sign before there's an accident.",BROKEN_SIGN
"The directional sign for the highway is obscured and broken.",BROKEN_SIGN
"stop sign destroyed",BROKEN_SIGN
"Warning sign for the sharp curve is missing entirely.",BROKEN_SIGN
"bent street sign",BROKEN_SIGN
"The Do Not Enter sign is bent in half.",BROKEN_SIGN
"sign broken",BROKEN_SIGN
"Fix the stop sign! People are driving right through!",BROKEN_SIGN
"Street sign pole snapped at the base.",BROKEN_SIGN
"The speed bump warning sign is detached and lying in the ditch.",BROKEN_SIGN
"signpost knocked down",BROKEN_SIGN
"Reflective surface on the stop sign is completely worn off.",BROKEN_SIGN
"Dangerous! The yield sign is gone!",BROKEN_SIGN
"sign leaning over",BROKEN_SIGN
"The dead end sign was stolen.",BROKEN_SIGN
"Traffic signs are broken and scattered.",BROKEN_SIGN
"someone ran over the sign",BROKEN_SIGN
"The crosswalk sign is shattered and sharp edges are exposed.",BROKEN_SIGN
"Street signs are pointing in the wrong directions.",BROKEN_SIGN
"brokn traffic sign",BROKEN_SIGN
"The handicap parking sign was ripped out of the ground.",BROKEN_SIGN
"fix the sign please",BROKEN_SIGN
"Important detour sign has fallen into the bushes.",BROKEN_SIGN
"Pole is up but the actual stop sign is missing.",BROKEN_SIGN
"The 'No Parking' sign is covered in stickers and bent.",BROKEN_SIGN
"sign is missing",BROKEN_SIGN
"Please re-install the knocked-down neighborhood watch sign.",BROKEN_SIGN
"building structure damaged after the storm",DAMAGED_STRUCTURE
"The brick wall at the park entrance is crumbling and looks unsafe",DAMAGED_STRUCTURE
"wooden bridge in the trail has a huge hole in it",DAMAGED_STRUCTURE
"Bus shelter glass is completely shattered all over the sidewalk",DAMAGED_STRUCTURE
"damged public bench needs fixing",DAMAGED_STRUCTURE
"The roof of the park gazebo is caving in",DAMAGED_STRUCTURE
"Concrete steps leading to the library are severely cracked",DAMAGED_STRUCTURE
"broken structure",DAMAGED_STRUCTURE
"crumbling wall",DAMAGED_STRUCTURE
"Please repair the structural damage to the community pool house.",DAMAGED_STRUCTURE
"The retaining wall near the road is leaning and cracking.",DAMAGED_STRUCTURE
"URGENT: Balcony on the public housing building looks like it will collapse!",DAMAGED_STRUCTURE
"broken bus stop",DAMAGED_STRUCTURE
"Metal fencing around the public court is torn and mangled.",DAMAGED_STRUCTURE
"building is falling apart",DAMAGED_STRUCTURE
"The pedestrian overpass has exposed rebar and crumbling concrete.",DAMAGED_STRUCTURE
"Public fountain is cracked and leaking everywhere.",DAMAGED_STRUCTURE
"structure is damaged",DAMAGED_STRUCTURE
"Please inspect the cracked pillars under the highway overpass.",DAMAGED_STRUCTURE
"The wooden boardwalk at the beach is rotting and breaking.",DAMAGED_STRUCTURE
"collapsed roof on pavilion",DAMAGED_STRUCTURE
"Handrail on the public stairs is completely detached.",DAMAGED_STRUCTURE
"broken bench in park",DAMAGED_STRUCTURE
"The brickwork on the side of the post office is falling off.",DAMAGED_STRUCTURE
"damaged building",DAMAGED_STRUCTURE
"Fix this bridge before someone falls through!",DAMAGED_STRUCTURE
"Stone monument in the square has a large crack down the middle.",DAMAGED_STRUCTURE
"The playground climbing structure is bent and broken.",DAMAGED_STRUCTURE
"broken concrete steps",DAMAGED_STRUCTURE
"Structural beams on the public pier look compromised.",DAMAGED_STRUCTURE
"Danger! This wall is going to collapse!",DAMAGED_STRUCTURE
"smashed bus shelter",DAMAGED_STRUCTURE
"The public restrooms have serious structural damage to the roof.",DAMAGED_STRUCTURE
"Tiles are falling off the facade of the courthouse.",DAMAGED_STRUCTURE
"bridge is damaged",DAMAGED_STRUCTURE
"A car crashed into the public library and damaged the exterior wall.",DAMAGED_STRUCTURE
"The guardrail along the cliff is broken and unstable.",DAMAGED_STRUCTURE
"damged stairs",DAMAGED_STRUCTURE
"The stadium bleachers are rusting out and unsafe to sit on.",DAMAGED_STRUCTURE
"building needs structural repair",DAMAGED_STRUCTURE
"Concrete planters in the plaza are smashed to pieces.",DAMAGED_STRUCTURE
"The ceiling in the subway station is actively crumbling.",DAMAGED_STRUCTURE
"Large structural crack in the foundation of the community hall.",DAMAGED_STRUCTURE
"pavilion broken",DAMAGED_STRUCTURE
"Please secure the damaged scaffolding on the city building.",DAMAGED_STRUCTURE

